StudentID,LifeSatisfaction,StudyHours,AttendanceRate,FriendCount,SleepHours,ExerciseHours,MentalStress,InternetUse,PartTimeHours
S0118,5.6,0.0,86.0,4,6.6,1.6,5,3.8,23
S0119,8.2,23.1,76.0,7,5.5,2.1,2,4.7,7
S0120,6.8,15.9,100.0,5,5.9,3.0,3,7.3,0
S0121,8.0,13.1,96.0,7,7.1,1.9,3,2.8,10
S0122,5.8,0.0,91.0,4,7.6,0.6,3,1.5,3
S0123,5.9,15.4,79.0,2,4.0,3.1,4,5.4,2
S0124,4.7,13.1,96.0,6,6.3,1.7,7,3.4,14
S0125,6.4,19.5,95.0,1,6.3,1.1,4,2.6,6
S0126,5.6,18.2,70.0,6,5.9,0.3,3,3.2,7
S0127,6.8,3.8,78.0,6,7.6,0.5,6,0.2,8
S0128,3.9,5.5,69.0,3,5.5,1.4,6,3.9,7
S0129,8.4,3.0,91.0,6,6.1,3.4,2,4.5,0
S0130,7.6,16.2,86.0,6,6.3,9.1,5,4.1,7
S0131,7.9,9.4,85.0,7,6.3,3.5,3,3.0,14
S0132,6.4,16.8,79.0,5,7.3,1.3,4,3.8,1
S0133,6.6,8.4,81.0,3,5.9,1.4,4,6.1,11
S0134,5.0,19.3,80.0,3,7.1,0.5,7,2.5,4
S0135,4.3,17.1,83.0,8,4.0,0.9,4,8.0,6
S0136,7.2,13.2,80.0,2,6.6,1.5,5,4.1,21
S0137,5.5,4.2,90.0,3,5.8,3.6,6,4.7,8
S0138,3.7,16.3,76.0,5,5.3,0.5,7,9.5,6
S0139,4.2,4.6,87.0,6,5.4,5.4,8,4.8,14
S0140,7.0,14.0,82.0,4,6.7,2.8,3,3.6,1
S0141,4.1,7.3,92.0,2,5.0,0.7,8,4.8,5
S0142,5.6,19.5,80.0,5,6.2,3.7,6,1.9,14
S0143,2.4,23.0,65.0,1,4.3,4.2,8,6.8,7
S0144,5.8,5.5,79.0,3,7.1,0.7,7,4.5,24
S0145,5.9,9.8,60.0,5,5.6,2.5,4,4.3,13
S0146,4.9,31.3,100.0,7,6.3,0.8,5,3.0,15
S0147,5.0,14.2,97.0,5,5.6,1.7,5,4.9,8
S0148,3.7,6.8,78.0,3,5.3,1.8,6,5.8,13
S0149,5.8,5.2,76.0,2,7.3,6.6,9,0.2,15
S0150,7.2,15.0,77.0,4,7.0,0.9,5,1.5,10
S0151,6.8,13.5,87.0,5,5.7,4.9,4,5.2,2
S0152,3.0,20.7,89.0,3,6.0,0.9,10,3.2,9
S0153,7.2,25.5,74.0,9,7.3,1.2,3,3.9,30
S0154,6.0,21.5,88.0,4,6.1,5.8,5,1.9,17
S0155,5.3,8.4,66.0,8,5.6,0.8,5,2.1,8
S0156,5.2,11.4,78.0,2,5.1,1.4,3,6.3,11
S0157,4.9,14.4,83.0,5,6.1,1.6,7,4.9,6
S0158,4.8,8.6,78.0,7,6.3,0.1,7,5.2,11
S0159,6.6,8.5,84.0,4,6.5,4.1,5,0.2,15
S0160,7.4,5.0,65.0,4,6.1,8.3,5,4.5,18
S0161,4.9,14.4,84.0,2,5.3,0.9,5,4.8,7
S0162,7.1,11.5,80.0,7,6.4,4.8,2,4.9,0
S0163,5.4,15.4,84.0,3,5.7,2.9,6,2.9,7
S0164,8.2,13.3,78.0,6,6.0,5.2,3,5.9,2
S0165,5.6,21.7,87.0,1,5.5,5.7,3,6.2,12
S0166,5.2,7.2,95.0,3,4.6,2.1,6,4.1,5
S0167,6.0,9.6,85.0,4,6.6,1.7,7,0.2,5
S0168,7.1,15.7,79.0,6,5.7,0.7,3,3.9,9
S0169,4.8,4.0,80.0,6,7.4,3.1,7,4.5,10
S0170,3.0,16.9,69.0,8,4.9,0.6,9,5.4,30
S0171,4.4,14.9,84.0,6,6.7,0.1,6,3.3,6
S0172,6.5,18.4,83.0,8,4.7,3.2,5,5.2,15
S0173,5.9,11.3,82.0,8,7.8,0.2,6,3.8,15
S0174,6.5,13.4,74.0,6,6.9,6.1,4,4.0,11
S0175,6.9,19.1,84.0,4,6.0,1.5,3,3.8,5
S0176,5.3,13.9,95.0,4,4.8,0.7,6,5.2,12
S0177,4.5,23.6,93.0,5,4.8,1.3,7,6.5,7
S0178,4.9,15.3,69.0,7,4.7,4.5,4,5.9,11
S0179,7.2,15.0,89.0,7,7.1,3.4,4,2.3,1
S0180,5.1,13.9,74.0,7,4.0,0.9,4,5.6,2
S0181,7.3,6.4,83.0,3,6.5,0.8,4,3.6,12
S0182,8.2,12.9,84.0,5,7.4,2.1,3,4.8,5
S0183,9.1,15.8,99.0,6,7.9,4.6,2,0.2,13
S0184,5.7,16.4,85.0,12,6.7,1.3,7,5.6,12
S0185,5.7,8.4,78.0,7,6.4,4.0,5,3.6,18
S0186,4.7,18.9,91.0,8,6.1,3.6,5,3.6,12
S0187,5.4,20.2,87.0,2,5.4,4.0,9,4.4,14
S0188,6.8,19.5,100.0,6,6.3,0.7,4,2.0,8
S0189,6.5,29.2,87.0,6,7.8,1.4,6,2.5,3
S0190,6.7,12.4,97.0,1,6.7,1.4,3,0.2,10
S0191,6.1,19.9,88.0,11,5.2,0.2,4,4.8,3
S0192,5.8,3.8,100.0,3,6.4,1.2,7,3.1,11
S0193,6.4,1.9,91.0,9,5.9,0.3,5,4.5,9
S0194,6.6,20.0,92.0,4,6.8,6.1,2,4.9,2
S0195,8.9,23.5,100.0,8,7.3,3.6,2,3.2,20
S0196,5.5,21.7,78.0,4,7.4,2.4,6,5.3,21
S0197,8.7,22.4,87.0,10,5.0,3.6,3,0.2,22
S0198,7.1,10.5,76.0,6,6.3,1.7,7,3.4,16
S0199,5.4,3.4,78.0,2,5.6,1.1,6,4.8,6
S0200,5.9,13.7,79.0,8,6.1,1.6,5,2.6,3
S0201,6.5,12.6,75.0,3,6.2,4.5,5,4.1,7
S0202,4.6,17.8,92.0,5,6.2,3.3,7,3.0,9
S0203,5.4,19.0,94.0,5,5.9,1.6,5,5.5,13
S0204,8.2,7.5,91.0,13,5.9,2.8,3,5.7,0
S0205,7.1,22.0,84.0,6,7.5,5.9,6,2.5,4
S0206,8.8,15.7,89.0,7,8.0,1.1,4,3.0,12
S0207,6.1,19.0,81.0,10,5.4,3.6,5,4.2,24
S0208,7.8,15.5,85.0,9,6.2,3.1,6,3.2,8
S0209,3.7,13.8,72.0,3,6.3,0.3,6,4.2,14
S0210,6.0,19.1,83.0,11,6.0,2.0,7,3.5,22
S0211,3.9,19.5,72.0,3,5.4,2.1,5,4.3,13
S0212,7.0,13.6,85.0,6,6.9,1.7,4,1.9,4
S0213,4.0,18.8,78.0,2,4.8,4.0,5,4.4,22
S0214,6.7,23.5,90.0,5,6.0,3.3,6,5.7,3
S0215,7.0,9.0,86.0,4,5.8,0.2,4,1.7,4
S0216,4.3,19.0,75.0,3,5.3,3.1,4,4.6,29
S0217,5.1,10.2,65.0,3,5.9,2.3,4,4.3,25
S0218,7.0,26.5,81.0,3,7.3,1.4,4,5.0,7
S0219,7.1,15.7,98.0,7,8.3,0.9,5,0.2,11
S0220,3.4,9.1,87.0,4,6.2,1.7,10,3.6,13
S0221,7.8,13.5,87.0,3,7.4,0.6,4,3.2,9
S0222,5.8,15.8,100.0,5,6.2,1.8,6,5.1,10
S0223,5.1,4.0,89.0,2,5.1,2.3,5,5.4,9
S0224,6.7,4.6,76.0,1,7.1,7.6,5,0.2,12
S0225,6.4,17.8,91.0,5,6.4,2.1,5,2.6,6
S0226,4.4,9.3,76.0,6,5.2,1.1,9,4.5,9
S0227,6.1,26.4,96.0,5,6.3,3.1,5,4.7,5
S0228,3.4,14.8,75.0,7,5.3,0.6,8,4.7,10
S0229,4.9,9.1,79.0,2,6.0,0.1,6,2.2,8
S0230,7.6,16.0,82.0,6,6.4,5.0,3,3.0,26
S0231,7.0,5.7,72.0,4,6.0,3.3,4,4.6,4
S0232,5.7,7.4,86.0,3,4.8,0.5,4,5.4,2
S0233,7.7,22.7,86.0,10,6.9,6.0,3,4.4,2
S0234,4.3,8.4,75.0,7,6.8,1.6,7,2.3,16
S0235,8.5,12.9,90.0,5,5.7,3.2,6,0.2,11
S0236,4.0,11.0,83.0,6,5.9,2.0,6,2.9,11
S0237,6.8,24.1,88.0,7,8.0,2.2,3,3.4,4
S0238,6.6,0.0,86.0,2,5.1,2.9,6,3.7,7
S0239,6.8,20.1,70.0,6,6.1,8.6,4,4.9,19
S0240,3.0,14.3,64.0,1,6.1,5.0,10,5.1,18
S0241,4.8,26.5,78.0,5,3.8,2.9,5,8.0,2
S0242,6.2,19.9,100.0,9,6.8,1.0,6,4.3,5
S0243,4.6,3.6,70.0,7,5.7,5.5,6,5.0,24
S0244,5.7,17.2,87.0,5,5.5,3.1,4,7.3,17
S0245,5.8,18.4,81.0,4,5.4,1.2,4,6.0,6
S0246,8.3,12.6,77.0,12,7.2,1.0,4,3.2,11
S0247,5.9,24.2,90.0,2,6.3,2.2,7,5.7,17
S0248,7.2,20.3,71.0,5,8.0,3.7,4,2.0,7
S0249,4.2,8.8,92.0,2,5.4,5.9,5,5.7,9
S0250,3.4,6.8,76.0,7,5.2,0.8,6,5.9,18
S0251,7.5,14.5,83.0,2,6.7,4.6,4,3.4,8
S0252,6.5,19.7,95.0,12,5.2,2.8,3,6.3,4
S0253,6.4,20.5,80.0,3,6.1,1.0,3,5.3,13
S0254,5.0,5.6,100.0,10,5.5,3.1,4,3.4,9
S0255,7.1,0.0,79.0,10,5.2,5.5,3,5.9,2
S0256,5.1,8.5,91.0,5,6.2,0.7,7,3.2,8
S0257,6.2,6.5,89.0,4,6.0,6.1,5,4.5,18
S0258,6.4,3.3,75.0,7,5.5,2.6,5,1.9,18
S0259,5.6,16.1,80.0,5,4.4,3.6,3,6.5,18
S0260,4.9,15.0,68.0,6,6.7,1.6,6,3.6,30
S0261,8.3,15.7,93.0,10,6.4,10.8,4,2.7,6
S0262,7.7,13.8,88.0,5,6.6,2.8,3,3.7,10
S0263,4.4,3.5,66.0,4,5.5,0.8,4,6.1,30
S0264,2.1,15.2,79.0,5,3.5,0.6,10,7.4,9
S0265,6.2,4.1,79.0,1,6.2,3.3,4,4.2,7
S0266,6.6,5.1,72.0,3,9.1,4.9,3,2.9,13
S0267,4.7,19.1,93.0,8,5.8,2.7,7,4.3,19
S0268,5.7,26.2,90.0,5,5.1,6.8,7,4.1,14
S0269,6.3,3.1,81.0,6,4.8,0.5,5,5.1,10
S0270,4.0,12.0,88.0,6,6.0,1.6,8,3.9,23
S0271,7.5,7.1,72.0,5,7.1,0.6,2,4.7,8
S0272,7.5,12.3,88.0,16,6.2,4.6,4,0.5,16
S0273,8.2,13.7,73.0,1,8.0,2.6,2,1.7,0
S0274,3.9,15.0,67.0,4,7.0,1.6,8,3.5,19
S0275,5.5,19.8,62.0,3,6.7,1.9,5,1.6,2
S0276,4.8,6.1,90.0,4,7.8,3.1,10,2.1,22
S0277,6.4,11.8,82.0,8,5.1,1.7,6,5.6,19
S0278,5.6,8.3,83.0,12,5.5,3.3,6,3.7,17
S0279,8.2,9.6,83.0,2,6.3,5.8,3,3.7,5
S0280,7.5,9.1,67.0,11,7.0,0.8,3,3.7,0
S0281,6.2,15.9,96.0,7,6.3,2.8,4,2.9,23
S0282,5.4,22.6,95.0,6,6.0,1.3,7,2.8,23
S0283,7.7,10.4,85.0,1,7.0,3.2,3,3.5,2
S0284,7.7,15.4,86.0,3,5.3,2.8,1,4.8,0
S0285,6.4,22.1,87.0,3,5.6,1.9,7,3.9,3
S0286,7.4,19.6,100.0,8,7.3,1.2,7,4.2,5
S0287,8.1,9.1,84.0,6,5.2,2.2,3,6.4,4
S0288,6.6,16.3,87.0,5,6.1,2.9,6,4.6,5
S0289,3.8,9.8,85.0,2,5.2,5.4,7,5.7,7
S0290,4.9,18.5,83.0,6,6.0,2.4,7,4.9,20
S0291,5.9,19.3,71.0,6,5.6,2.0,2,5.9,5
S0292,7.1,11.2,80.0,4,6.3,0.2,5,2.5,10
S0293,6.6,6.7,73.0,4,5.7,7.2,4,2.0,7
S0294,4.9,15.1,84.0,1,6.0,0.7,7,5.4,3
S0295,4.9,13.9,88.0,3,6.6,3.1,5,4.5,8
S0296,7.0,20.3,81.0,6,5.8,1.5,3,5.3,14
S0297,7.0,17.6,100.0,5,7.1,0.8,5,1.4,6
S0298,3.8,21.8,86.0,2,5.2,3.7,6,8.3,4
S0299,6.8,12.5,78.0,4,6.3,0.8,2,3.8,8
S0300,5.0,10.6,65.0,1,6.0,1.2,2,7.8,4
S0301,6.5,21.8,94.0,5,6.1,0.6,4,3.3,3
S0302,4.9,8.4,84.0,2,6.8,4.1,4,3.3,5
S0303,8.0,22.7,74.0,7,7.1,1.0,4,0.2,6
S0304,6.7,15.8,97.0,4,5.1,1.0,1,4.8,2
S0305,8.7,7.5,80.0,4,4.8,5.7,2,4.1,2
S0306,6.4,18.5,83.0,9,5.9,3.1,5,3.3,2
S0307,5.3,25.5,100.0,8,4.4,1.0,6,5.0,8
S0308,9.0,7.8,92.0,6,6.3,1.7,3,2.9,8
S0309,5.2,5.9,87.0,6,5.8,2.7,5,5.6,12
S0310,4.4,20.4,94.0,7,4.8,5.1,9,5.0,28
S0311,6.7,8.5,81.0,9,5.1,1.8,5,4.8,8
S0312,7.0,12.6,69.0,2,7.7,3.2,4,3.1,4
S0313,6.8,5.9,67.0,12,6.5,1.3,4,3.0,18
S0314,3.9,12.7,69.0,2,5.2,1.0,6,6.6,12
S0315,5.8,12.2,83.0,2,6.1,7.0,5,4.3,13
S0316,5.5,20.5,89.0,5,5.2,4.1,6,4.4,30
S0317,6.4,10.5,88.0,7,4.6,0.7,4,4.2,1
S0318,6.1,20.5,95.0,3,6.8,3.6,6,3.8,6
S0319,5.7,13.6,86.0,6,5.1,0.3,6,1.7,9
S0320,8.2,9.1,88.0,15,5.4,3.8,5,4.9,4
S0321,5.3,13.0,83.0,3,6.2,0.2,7,3.4,8
S0322,6.6,7.5,94.0,1,6.9,4.0,2,2.7,12
S0323,5.5,8.6,85.0,5,5.3,0.6,6,6.4,6
S0324,5.5,11.7,76.0,2,3.5,6.4,5,8.6,2
S0325,6.3,21.0,89.0,6,6.1,4.6,7,3.8,23
S0326,3.5,13.9,82.0,4,6.1,0.9,9,5.0,20
S0327,6.4,14.5,72.0,6,6.0,7.4,5,1.9,9
S0328,5.1,8.7,61.0,7,5.3,3.4,5,6.1,9
S0329,6.2,14.1,90.0,3,6.7,2.1,5,4.4,7
S0330,3.0,8.9,77.0,7,4.9,1.8,8,5.7,11
S0331,4.6,2.0,83.0,7,5.4,5.2,8,6.0,25
S0332,6.8,14.3,88.0,10,5.7,3.6,5,3.7,3
S0333,4.3,10.0,89.0,7,5.8,0.5,6,5.4,2
S0334,3.5,9.5,74.0,1,6.4,1.4,9,3.9,11
S0335,5.7,7.3,93.0,2,5.6,1.3,6,4.8,10
S0336,6.8,13.5,89.0,3,5.3,3.0,2,4.3,3
S0337,8.9,12.9,90.0,4,6.5,2.8,4,1.5,15
S0338,5.1,17.0,99.0,4,6.5,0.9,4,2.4,4
S0339,6.0,11.0,92.0,5,6.7,3.3,6,0.9,7
S0340,6.6,12.8,85.0,6,6.8,0.1,4,0.7,10
S0341,5.7,24.3,80.0,3,6.4,9.1,8,4.7,6
S0342,6.7,10.5,75.0,8,5.5,1.4,4,6.4,4
S0343,4.1,9.7,81.0,2,5.9,2.6,8,5.3,15
S0344,6.5,19.8,88.0,1,6.9,1.4,4,3.3,12
S0345,3.5,11.7,77.0,6,5.2,3.3,8,8.8,9
S0346,7.0,12.9,88.0,2,5.9,3.1,6,5.3,6
S0347,4.4,12.9,76.0,7,5.2,0.8,8,6.6,27
S0348,3.1,8.3,72.0,4,6.0,1.9,9,3.8,10
S0349,3.0,15.5,78.0,2,6.1,1.6,9,5.1,14
S0350,5.3,15.0,84.0,9,6.4,0.2,7,2.4,12
S0351,6.2,0.8,83.0,3,5.3,1.8,4,3.4,3
S0352,6.6,18.5,89.0,3,8.0,2.9,4,1.6,18
S0353,6.9,23.6,71.0,8,6.2,2.6,1,4.3,0
S0354,6.5,9.3,92.0,6,6.8,0.6,8,3.0,8
S0355,7.0,24.3,89.0,7,5.2,7.1,8,2.3,6
S0356,4.4,11.2,93.0,7,5.7,0.6,7,5.3,10
S0357,5.5,22.7,91.0,3,5.3,2.9,3,3.6,4
S0358,4.7,24.7,88.0,7,6.0,2.2,10,3.6,18
S0359,7.7,5.9,89.0,3,6.5,1.8,4,4.4,14
S0360,4.5,24.1,63.0,7,6.3,0.5,7,2.6,17
S0361,6.6,11.7,91.0,8,5.7,1.9,2,4.0,1
S0362,7.3,13.8,88.0,4,7.5,2.8,4,3.6,22
S0363,5.6,15.0,82.0,3,6.4,0.8,8,3.1,8
S0364,4.6,21.8,89.0,9,5.0,2.1,7,3.7,14
S0365,6.6,7.1,100.0,6,5.3,2.6,3,5.3,2
S0366,6.3,24.1,66.0,4,7.5,4.7,5,4.3,7
S0367,5.0,12.1,73.0,6,5.0,6.1,8,3.5,14
S0368,5.7,22.4,90.0,1,5.5,0.3,2,2.4,11
S0369,4.6,27.2,85.0,4,7.1,0.4,7,4.9,15
S0370,7.0,25.1,88.0,5,5.9,6.0,2,6.0,4
S0371,7.0,10.9,65.0,5,7.6,6.2,7,3.7,13
S0372,6.3,20.7,86.0,3,6.4,0.8,5,1.8,8
S0373,4.9,15.2,94.0,8,5.1,0.9,7,8.0,14
S0374,6.3,22.1,80.0,2,6.6,2.7,4,4.2,8
S0375,7.1,10.3,80.0,4,5.4,7.2,5,7.4,6
S0376,6.2,17.8,87.0,2,6.4,1.0,5,1.1,5
S0377,7.1,22.0,81.0,5,7.8,7.3,3,1.2,0
S0378,8.0,20.0,91.0,5,7.3,8.9,5,2.2,10
S0379,6.0,17.8,71.0,4,7.1,3.5,3,2.8,30
S0380,6.8,12.7,72.0,8,6.9,1.7,4,0.2,5
S0381,6.2,1.7,86.0,3,6.6,4.4,7,0.4,5
S0382,5.9,0.0,84.0,3,5.3,3.7,5,3.8,10
S0383,5.8,4.3,87.0,6,5.9,4.4,7,2.3,10
S0384,5.0,14.2,78.0,2,5.6,2.4,7,4.4,4
S0385,4.9,16.1,88.0,3,7.2,4.4,7,3.0,10
S0386,8.6,7.2,93.0,6,7.0,3.9,3,2.1,2
S0387,5.0,19.3,91.0,6,6.5,0.1,6,3.5,3
S0388,4.6,18.3,89.0,9,6.9,1.6,8,3.7,6
S0389,5.1,9.7,88.0,6,5.9,4.1,7,1.8,6
S0390,5.7,11.0,88.0,8,7.3,6.7,8,4.6,8
S0391,5.9,16.1,82.0,6,6.1,7.9,8,4.4,12
S0392,8.2,11.1,100.0,16,7.8,2.8,2,4.2,3
S0393,5.3,15.1,73.0,3,7.2,2.3,6,3.3,30
S0394,5.2,12.6,85.0,5,5.8,8.5,6,3.6,6
S0395,5.9,14.4,91.0,2,6.2,2.0,5,4.3,6
S0396,8.6,8.2,74.0,13,5.1,1.1,3,4.5,0
S0397,8.7,26.5,95.0,12,5.9,3.2,5,3.8,2
S0398,5.5,13.7,80.0,8,6.3,2.5,5,6.8,10
S0399,4.5,9.1,81.0,3,6.0,0.6,9,5.0,14
S0400,3.6,23.8,97.0,5,4.5,3.2,8,6.8,16
S0401,6.6,12.9,100.0,5,6.0,2.3,4,6.4,3
S0402,7.5,6.9,72.0,4,6.7,1.8,3,1.8,7
S0403,5.5,23.5,90.0,5,4.7,1.1,4,7.9,4
S0404,7.6,11.4,88.0,8,7.1,0.7,5,1.1,30
S0405,7.1,29.0,100.0,1,6.2,0.4,4,4.8,3
S0406,4.0,18.2,89.0,6,5.5,1.7,9,3.0,14
S0407,7.4,12.9,79.0,5,6.9,4.8,3,3.6,0
