order_id,order_date,customer_id,gender,age_group,product_id,product_name,category,unit_price,quantity,amount
O00041,2024-01-15,C010,female,10s,P20,Cap,Accessories,2400,1,2400
O00042,2024-01-15,C132,female,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00043,2024-01-16,C017,female,40s,P13,Knit Dress,Dresses,9900,1,9900
O00044,2024-01-16,C033,male,40s,P18,Shoulder Bag,Bags,9800,2,19600
O00044,2024-01-16,C033,male,40s,P19,Scarf,Accessories,2900,1,2900
O00045,2024-01-16,C046,female,30s,P01,T-shirt,Tops,2900,1,2900
O00046,2024-01-17,C047,female,20s,P04,Hoodie,Tops,5900,1,5900
O00046,2024-01-17,C047,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00046,2024-01-17,C047,female,20s,P10,Down Jacket,Outerwear,19800,1,19800
O00047,2024-01-17,C057,female,40s,P19,Scarf,Accessories,2900,1,2900
O00048,2024-01-17,C149,male,40s,P04,Hoodie,Tops,5900,1,5900
O00049,2024-01-18,C030,female,10s,P03,Blouse,Tops,4900,2,9800
O00049,2024-01-18,C030,female,10s,P20,Cap,Accessories,2400,1,2400
O00050,2024-01-18,C031,female,20s,P09,Trench Coat,Outerwear,24800,1,24800
O00050,2024-01-18,C031,female,20s,P16,Ankle Boots,Shoes,13800,2,27600
O00051,2024-01-18,C133,male,40s,P17,Tote Bag,Bags,6900,1,6900
O00052,2024-01-19,C005,female,20s,P14,Sneakers,Shoes,8900,1,8900
O00053,2024-01-19,C099,female,30s,P01,T-shirt,Tops,2900,1,2900
O00054,2024-01-20,C002,male,50+,P02,Knit Sweater,Tops,6900,1,6900
O00054,2024-01-20,C002,male,50+,P19,Scarf,Accessories,2900,1,2900
O00054,2024-01-20,C002,male,50+,P21,Socks Set,Accessories,1500,1,1500
O00055,2024-01-20,C006,male,40s,P11,Denim Jacket,Outerwear,9800,1,9800
O00055,2024-01-20,C006,male,40s,P21,Socks Set,Accessories,1500,1,1500
O00056,2024-01-20,C008,male,30s,P04,Hoodie,Tops,5900,1,5900
O00056,2024-01-20,C008,male,30s,P18,Shoulder Bag,Bags,9800,1,9800
O00057,2024-01-20,C025,female,20s,P12,Shirt Dress,Dresses,8900,1,8900
O00058,2024-01-20,C033,male,40s,P05,Skinny Denim,Bottoms,7900,1,7900
O00059,2024-01-20,C052,female,30s,P03,Blouse,Tops,4900,1,4900
O00059,2024-01-20,C052,female,30s,P10,Down Jacket,Outerwear,19800,1,19800
O00060,2024-01-20,C058,male,30s,P01,T-shirt,Tops,2900,1,2900
O00060,2024-01-20,C058,male,30s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00060,2024-01-20,C058,male,30s,P08,Chino Pants,Bottoms,5900,1,5900
O00061,2024-01-20,C100,female,40s,P04,Hoodie,Tops,5900,1,5900
O00061,2024-01-20,C100,female,40s,P18,Shoulder Bag,Bags,9800,1,9800
O00062,2024-01-20,C107,female,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00063,2024-01-22,C004,female,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00063,2024-01-22,C004,female,30s,P12,Shirt Dress,Dresses,8900,1,8900
O00063,2024-01-22,C004,female,30s,P18,Shoulder Bag,Bags,9800,1,9800
O00064,2024-01-22,C028,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00064,2024-01-22,C028,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00064,2024-01-22,C028,female,20s,P13,Knit Dress,Dresses,9900,1,9900
O00065,2024-01-22,C035,female,40s,P02,Knit Sweater,Tops,6900,1,6900
O00066,2024-01-22,C103,female,20s,P04,Hoodie,Tops,5900,1,5900
O00066,2024-01-22,C103,female,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00067,2024-01-22,C108,female,50+,P10,Down Jacket,Outerwear,19800,1,19800
O00068,2024-01-23,C022,male,20s,P01,T-shirt,Tops,2900,1,2900
O00068,2024-01-23,C022,male,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00069,2024-01-23,C026,male,30s,P06,Wide Pants,Bottoms,6900,1,6900
O00070,2024-01-23,C031,female,20s,P03,Blouse,Tops,4900,1,4900
O00071,2024-01-23,C032,male,50+,P04,Hoodie,Tops,5900,1,5900
O00071,2024-01-23,C032,male,50+,P16,Ankle Boots,Shoes,13800,1,13800
O00072,2024-01-23,C140,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00072,2024-01-23,C140,female,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00072,2024-01-23,C140,female,20s,P19,Scarf,Accessories,2900,1,2900
O00073,2024-01-24,C101,female,20s,P16,Ankle Boots,Shoes,13800,1,13800
O00073,2024-01-24,C101,female,20s,P18,Shoulder Bag,Bags,9800,1,9800
O00074,2024-01-25,C040,female,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00074,2024-01-25,C040,female,40s,P14,Sneakers,Shoes,8900,2,17800
O00075,2024-01-26,C017,female,40s,P01,T-shirt,Tops,2900,2,5800
O00075,2024-01-26,C017,female,40s,P09,Trench Coat,Outerwear,24800,1,24800
O00076,2024-01-27,C023,female,20s,P09,Trench Coat,Outerwear,24800,1,24800
O00076,2024-01-27,C023,female,20s,P21,Socks Set,Accessories,1500,2,3000
O00077,2024-01-27,C052,female,30s,P15,Loafers,Shoes,11800,1,11800
O00078,2024-01-28,C001,male,10s,P12,Shirt Dress,Dresses,8900,1,8900
O00078,2024-01-28,C001,male,10s,P14,Sneakers,Shoes,8900,1,8900
O00079,2024-01-28,C026,male,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00080,2024-01-28,C141,female,30s,P12,Shirt Dress,Dresses,8900,1,8900
O00080,2024-01-28,C141,female,30s,P20,Cap,Accessories,2400,1,2400
O00081,2024-01-29,C029,female,30s,P03,Blouse,Tops,4900,2,9800
O00081,2024-01-29,C029,female,30s,P14,Sneakers,Shoes,8900,2,17800
O00082,2024-01-29,C131,female,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00082,2024-01-29,C131,female,40s,P13,Knit Dress,Dresses,9900,1,9900
O00083,2024-01-30,C006,male,40s,P08,Chino Pants,Bottoms,5900,1,5900
O00083,2024-01-30,C006,male,40s,P21,Socks Set,Accessories,1500,1,1500
O00084,2024-01-30,C033,male,40s,P03,Blouse,Tops,4900,1,4900
O00084,2024-01-30,C033,male,40s,P14,Sneakers,Shoes,8900,1,8900
O00085,2024-01-30,C054,male,10s,P21,Socks Set,Accessories,1500,2,3000
O00086,2024-01-30,C060,female,30s,P11,Denim Jacket,Outerwear,9800,1,9800
O00086,2024-01-30,C060,female,30s,P19,Scarf,Accessories,2900,1,2900
O00087,2024-01-30,C068,female,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00088,2024-01-30,C106,male,30s,P04,Hoodie,Tops,5900,1,5900
O00088,2024-01-30,C106,male,30s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00088,2024-01-30,C106,male,30s,P14,Sneakers,Shoes,8900,1,8900
O00089,2024-01-30,C130,female,20s,P05,Skinny Denim,Bottoms,7900,1,7900
O00089,2024-01-30,C130,female,20s,P19,Scarf,Accessories,2900,1,2900
O00090,2024-01-31,C103,female,20s,P06,Wide Pants,Bottoms,6900,1,6900
O00090,2024-01-31,C103,female,20s,P18,Shoulder Bag,Bags,9800,1,9800
O00091,2024-01-31,C120,female,40s,P02,Knit Sweater,Tops,6900,1,6900
O00091,2024-01-31,C120,female,40s,P17,Tote Bag,Bags,6900,2,13800
O00092,2024-01-31,C125,female,30s,P06,Wide Pants,Bottoms,6900,1,6900
O00093,2024-02-03,C022,male,20s,P21,Socks Set,Accessories,1500,1,1500
O00094,2024-02-03,C060,female,30s,P15,Loafers,Shoes,11800,1,11800
O00094,2024-02-03,C060,female,30s,P20,Cap,Accessories,2400,1,2400
O00095,2024-02-03,C129,male,40s,P15,Loafers,Shoes,11800,1,11800
O00096,2024-02-04,C132,female,20s,P04,Hoodie,Tops,5900,1,5900
O00096,2024-02-04,C132,female,20s,P15,Loafers,Shoes,11800,1,11800
O00097,2024-02-05,C103,female,20s,P14,Sneakers,Shoes,8900,1,8900
O00097,2024-02-05,C103,female,20s,P18,Shoulder Bag,Bags,9800,1,9800
O00097,2024-02-05,C103,female,20s,P20,Cap,Accessories,2400,1,2400
O00098,2024-02-05,C126,female,30s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00098,2024-02-05,C126,female,30s,P16,Ankle Boots,Shoes,13800,1,13800
O00099,2024-02-06,C026,male,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00099,2024-02-06,C026,male,30s,P06,Wide Pants,Bottoms,6900,1,6900
O00100,2024-02-06,C071,female,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00101,2024-02-06,C097,male,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00101,2024-02-06,C097,male,30s,P21,Socks Set,Accessories,1500,1,1500
O00102,2024-02-06,C098,female,20s,P18,Shoulder Bag,Bags,9800,1,9800
O00102,2024-02-06,C098,female,20s,P21,Socks Set,Accessories,1500,1,1500
O00103,2024-02-06,C133,male,40s,P16,Ankle Boots,Shoes,13800,1,13800
O00104,2024-02-07,C001,male,10s,P02,Knit Sweater,Tops,6900,1,6900
O00104,2024-02-07,C001,male,10s,P08,Chino Pants,Bottoms,5900,2,11800
O00105,2024-02-07,C020,female,20s,P01,T-shirt,Tops,2900,1,2900
O00105,2024-02-07,C020,female,20s,P18,Shoulder Bag,Bags,9800,1,9800
O00105,2024-02-07,C020,female,20s,P19,Scarf,Accessories,2900,1,2900
O00106,2024-02-07,C059,male,30s,P04,Hoodie,Tops,5900,1,5900
O00106,2024-02-07,C059,male,30s,P14,Sneakers,Shoes,8900,1,8900
O00107,2024-02-08,C009,female,50+,P05,Skinny Denim,Bottoms,7900,1,7900
O00108,2024-02-08,C020,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00108,2024-02-08,C020,female,20s,P06,Wide Pants,Bottoms,6900,2,13800
O00108,2024-02-08,C020,female,20s,P13,Knit Dress,Dresses,9900,1,9900
O00109,2024-02-08,C139,female,20s,P16,Ankle Boots,Shoes,13800,1,13800
O00109,2024-02-08,C139,female,20s,P17,Tote Bag,Bags,6900,1,6900
O00110,2024-02-09,C016,female,40s,P12,Shirt Dress,Dresses,8900,1,8900
O00110,2024-02-09,C016,female,40s,P14,Sneakers,Shoes,8900,1,8900
O00111,2024-02-09,C032,male,50+,P19,Scarf,Accessories,2900,1,2900
O00111,2024-02-09,C032,male,50+,P21,Socks Set,Accessories,1500,1,1500
O00112,2024-02-09,C044,female,20s,P15,Loafers,Shoes,11800,1,11800
O00113,2024-02-09,C118,female,20s,P02,Knit Sweater,Tops,6900,2,13800
O00113,2024-02-09,C118,female,20s,P10,Down Jacket,Outerwear,19800,2,39600
O00114,2024-02-10,C008,male,30s,P02,Knit Sweater,Tops,6900,1,6900
O00115,2024-02-10,C020,female,20s,P04,Hoodie,Tops,5900,1,5900
O00115,2024-02-10,C020,female,20s,P09,Trench Coat,Outerwear,24800,1,24800
O00116,2024-02-10,C150,female,30s,P07,Pleated Skirt,Bottoms,5900,2,11800
O00117,2024-02-11,C019,female,40s,P03,Blouse,Tops,4900,1,4900
O00117,2024-02-11,C019,female,40s,P05,Skinny Denim,Bottoms,7900,1,7900
O00117,2024-02-11,C019,female,40s,P17,Tote Bag,Bags,6900,2,13800
O00118,2024-02-11,C147,male,40s,P03,Blouse,Tops,4900,1,4900
O00118,2024-02-11,C147,male,40s,P15,Loafers,Shoes,11800,1,11800
O00119,2024-02-12,C020,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00119,2024-02-12,C020,female,20s,P15,Loafers,Shoes,11800,1,11800
O00120,2024-02-12,C073,male,20s,P09,Trench Coat,Outerwear,24800,1,24800
O00121,2024-02-12,C118,female,20s,P16,Ankle Boots,Shoes,13800,1,13800
O00122,2024-02-12,C130,female,20s,P16,Ankle Boots,Shoes,13800,1,13800
O00123,2024-02-13,C008,male,30s,P04,Hoodie,Tops,5900,1,5900
O00124,2024-02-13,C132,female,20s,P05,Skinny Denim,Bottoms,7900,1,7900
O00124,2024-02-13,C132,female,20s,P14,Sneakers,Shoes,8900,1,8900
O00124,2024-02-13,C132,female,20s,P19,Scarf,Accessories,2900,1,2900
O00125,2024-02-14,C005,female,20s,P05,Skinny Denim,Bottoms,7900,1,7900
O00125,2024-02-14,C005,female,20s,P13,Knit Dress,Dresses,9900,1,9900
O00126,2024-02-14,C048,male,20s,P14,Sneakers,Shoes,8900,2,17800
O00127,2024-02-14,C061,female,20s,P08,Chino Pants,Bottoms,5900,2,11800
O00127,2024-02-14,C061,female,20s,P10,Down Jacket,Outerwear,19800,1,19800
O00128,2024-02-14,C112,female,50+,P03,Blouse,Tops,4900,1,4900
O00128,2024-02-14,C112,female,50+,P17,Tote Bag,Bags,6900,2,13800
O00129,2024-02-15,C004,female,30s,P09,Trench Coat,Outerwear,24800,2,49600
O00129,2024-02-15,C004,female,30s,P13,Knit Dress,Dresses,9900,1,9900
O00129,2024-02-15,C004,female,30s,P19,Scarf,Accessories,2900,2,5800
O00130,2024-02-15,C025,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00130,2024-02-15,C025,female,20s,P06,Wide Pants,Bottoms,6900,1,6900
O00131,2024-02-15,C031,female,20s,P13,Knit Dress,Dresses,9900,1,9900
O00132,2024-02-16,C143,male,30s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00133,2024-02-17,C004,female,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00133,2024-02-17,C004,female,30s,P15,Loafers,Shoes,11800,1,11800
O00134,2024-02-17,C004,female,30s,P04,Hoodie,Tops,5900,1,5900
O00134,2024-02-17,C004,female,30s,P17,Tote Bag,Bags,6900,1,6900
O00135,2024-02-17,C031,female,20s,P01,T-shirt,Tops,2900,1,2900
O00135,2024-02-17,C031,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00135,2024-02-17,C031,female,20s,P16,Ankle Boots,Shoes,13800,1,13800
O00136,2024-02-18,C015,female,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00137,2024-02-18,C028,female,20s,P10,Down Jacket,Outerwear,19800,2,39600
O00137,2024-02-18,C028,female,20s,P19,Scarf,Accessories,2900,1,2900
O00138,2024-02-18,C042,female,20s,P04,Hoodie,Tops,5900,2,11800
O00138,2024-02-18,C042,female,20s,P06,Wide Pants,Bottoms,6900,1,6900
O00139,2024-02-18,C058,male,30s,P16,Ankle Boots,Shoes,13800,2,27600
O00140,2024-02-19,C036,female,30s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00141,2024-02-20,C134,female,50+,P13,Knit Dress,Dresses,9900,1,9900
O00142,2024-02-21,C015,female,30s,P04,Hoodie,Tops,5900,1,5900
O00142,2024-02-21,C015,female,30s,P15,Loafers,Shoes,11800,1,11800
O00143,2024-02-21,C101,female,20s,P04,Hoodie,Tops,5900,1,5900
O00144,2024-02-21,C124,male,40s,P03,Blouse,Tops,4900,1,4900
O00145,2024-02-22,C012,female,10s,P02,Knit Sweater,Tops,6900,1,6900
O00146,2024-02-22,C020,female,20s,P01,T-shirt,Tops,2900,1,2900
O00146,2024-02-22,C020,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00146,2024-02-22,C020,female,20s,P19,Scarf,Accessories,2900,1,2900
O00147,2024-02-23,C007,male,50+,P04,Hoodie,Tops,5900,1,5900
O00147,2024-02-23,C007,male,50+,P10,Down Jacket,Outerwear,19800,1,19800
O00148,2024-02-23,C143,male,30s,P04,Hoodie,Tops,5900,1,5900
O00148,2024-02-23,C143,male,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00149,2024-02-24,C097,male,30s,P12,Shirt Dress,Dresses,8900,1,8900
O00150,2024-02-25,C006,male,40s,P13,Knit Dress,Dresses,9900,1,9900
O00151,2024-02-25,C016,female,40s,P14,Sneakers,Shoes,8900,1,8900
O00152,2024-02-25,C019,female,40s,P03,Blouse,Tops,4900,1,4900
O00152,2024-02-25,C019,female,40s,P16,Ankle Boots,Shoes,13800,1,13800
O00153,2024-02-25,C027,female,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00153,2024-02-25,C027,female,40s,P21,Socks Set,Accessories,1500,2,3000
O00154,2024-02-25,C060,female,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00154,2024-02-25,C060,female,30s,P08,Chino Pants,Bottoms,5900,1,5900
O00154,2024-02-25,C060,female,30s,P10,Down Jacket,Outerwear,19800,1,19800
O00155,2024-02-26,C109,female,20s,P19,Scarf,Accessories,2900,1,2900
O00156,2024-02-27,C126,female,30s,P11,Denim Jacket,Outerwear,9800,1,9800
O00156,2024-02-27,C126,female,30s,P20,Cap,Accessories,2400,1,2400
O00157,2024-02-27,C141,female,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00158,2024-02-28,C010,female,10s,P02,Knit Sweater,Tops,6900,1,6900
O00158,2024-02-28,C010,female,10s,P17,Tote Bag,Bags,6900,1,6900
O00159,2024-02-28,C027,female,40s,P17,Tote Bag,Bags,6900,1,6900
O00160,2024-02-29,C007,male,50+,P12,Shirt Dress,Dresses,8900,2,17800
O00160,2024-02-29,C007,male,50+,P13,Knit Dress,Dresses,9900,1,9900
O00161,2024-02-29,C104,male,10s,P10,Down Jacket,Outerwear,19800,1,19800
O00162,2024-03-01,C014,female,10s,P05,Skinny Denim,Bottoms,7900,1,7900
O00162,2024-03-01,C014,female,10s,P06,Wide Pants,Bottoms,6900,1,6900
O00163,2024-03-02,C005,female,20s,P03,Blouse,Tops,4900,1,4900
O00163,2024-03-02,C005,female,20s,P05,Skinny Denim,Bottoms,7900,1,7900
O00164,2024-03-02,C019,female,40s,P01,T-shirt,Tops,2900,1,2900
O00164,2024-03-02,C019,female,40s,P05,Skinny Denim,Bottoms,7900,1,7900
O00165,2024-03-02,C073,male,20s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00166,2024-03-02,C145,female,50+,P07,Pleated Skirt,Bottoms,5900,1,5900
O00167,2024-03-03,C006,male,40s,P03,Blouse,Tops,4900,1,4900
O00167,2024-03-03,C006,male,40s,P18,Shoulder Bag,Bags,9800,1,9800
O00167,2024-03-03,C006,male,40s,P21,Socks Set,Accessories,1500,1,1500
O00168,2024-03-03,C040,female,40s,P03,Blouse,Tops,4900,2,9800
O00168,2024-03-03,C040,female,40s,P14,Sneakers,Shoes,8900,1,8900
O00169,2024-03-03,C099,female,30s,P06,Wide Pants,Bottoms,6900,2,13800
O00170,2024-03-04,C017,female,40s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00171,2024-03-04,C108,female,50+,P03,Blouse,Tops,4900,1,4900
O00171,2024-03-04,C108,female,50+,P13,Knit Dress,Dresses,9900,1,9900
O00171,2024-03-04,C108,female,50+,P18,Shoulder Bag,Bags,9800,1,9800
O00172,2024-03-04,C108,female,50+,P15,Loafers,Shoes,11800,2,23600
O00173,2024-03-04,C135,female,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00173,2024-03-04,C135,female,30s,P19,Scarf,Accessories,2900,2,5800
O00174,2024-03-05,C040,female,40s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00175,2024-03-05,C051,male,40s,P09,Trench Coat,Outerwear,24800,1,24800
O00175,2024-03-05,C051,male,40s,P14,Sneakers,Shoes,8900,1,8900
O00176,2024-03-06,C034,female,50+,P02,Knit Sweater,Tops,6900,1,6900
O00177,2024-03-06,C047,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00177,2024-03-06,C047,female,20s,P10,Down Jacket,Outerwear,19800,1,19800
O00177,2024-03-06,C047,female,20s,P14,Sneakers,Shoes,8900,1,8900
O00178,2024-03-06,C099,female,30s,P04,Hoodie,Tops,5900,1,5900
O00178,2024-03-06,C099,female,30s,P12,Shirt Dress,Dresses,8900,1,8900
O00179,2024-03-07,C005,female,20s,P05,Skinny Denim,Bottoms,7900,1,7900
O00180,2024-03-07,C010,female,10s,P06,Wide Pants,Bottoms,6900,1,6900
O00181,2024-03-07,C018,female,40s,P02,Knit Sweater,Tops,6900,1,6900
O00181,2024-03-07,C018,female,40s,P14,Sneakers,Shoes,8900,1,8900
O00182,2024-03-07,C075,female,20s,P12,Shirt Dress,Dresses,8900,1,8900
O00182,2024-03-07,C075,female,20s,P19,Scarf,Accessories,2900,1,2900
O00183,2024-03-08,C034,female,50+,P03,Blouse,Tops,4900,1,4900
O00184,2024-03-08,C145,female,50+,P01,T-shirt,Tops,2900,2,5800
O00185,2024-03-09,C030,female,10s,P15,Loafers,Shoes,11800,1,11800
O00186,2024-03-10,C035,female,40s,P02,Knit Sweater,Tops,6900,1,6900
O00186,2024-03-10,C035,female,40s,P11,Denim Jacket,Outerwear,9800,1,9800
O00187,2024-03-11,C098,female,20s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00187,2024-03-11,C098,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00188,2024-03-12,C004,female,30s,P17,Tote Bag,Bags,6900,1,6900
O00189,2024-03-12,C016,female,40s,P01,T-shirt,Tops,2900,1,2900
O00189,2024-03-12,C016,female,40s,P03,Blouse,Tops,4900,1,4900
O00189,2024-03-12,C016,female,40s,P04,Hoodie,Tops,5900,1,5900
O00190,2024-03-12,C020,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00191,2024-03-12,C021,female,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00191,2024-03-12,C021,female,30s,P14,Sneakers,Shoes,8900,1,8900
O00191,2024-03-12,C021,female,30s,P17,Tote Bag,Bags,6900,1,6900
O00192,2024-03-12,C031,female,20s,P01,T-shirt,Tops,2900,1,2900
O00193,2024-03-12,C110,male,40s,P08,Chino Pants,Bottoms,5900,1,5900
O00193,2024-03-12,C110,male,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00194,2024-03-13,C070,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00194,2024-03-13,C070,female,20s,P11,Denim Jacket,Outerwear,9800,1,9800
O00194,2024-03-13,C070,female,20s,P12,Shirt Dress,Dresses,8900,1,8900
O00195,2024-03-14,C005,female,20s,P15,Loafers,Shoes,11800,1,11800
O00196,2024-03-14,C008,male,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00196,2024-03-14,C008,male,30s,P08,Chino Pants,Bottoms,5900,1,5900
